Date,1M,3M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,6M,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y,41Y,42Y,43Y,44Y,45Y,46Y,47Y,48Y,49Y,50Y
2007-05-31 00:00:04,3.302856,3.114061,3.10306,3.155622,3.243349,3.360667,3.433638,3.520701,3.658626,3.7455,3.806676,3.868895,3.986093,4.113019,4.207839,4.311732,4.376775,4.434326,4.482751,4.511274,4.539796,3.084065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-30 00:00:04,2.944434,2.963427,3.227846,3.53207,3.690258,3.960991,4.059761,4.263642,4.390129,4.453987,4.496736,4.576298,4.671949,4.749648,4.813481,4.879498,4.900022,4.915898,4.935293,4.977074,5.018855,3.092565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-31 00:00:04,3.112532,3.06278,3.241652,3.382164,3.619136,3.823148,4.072884,4.23537,4.354135,4.505187,4.62788,4.665965,4.775355,4.872718,4.892743,4.910083,4.917801,4.927278,4.939133,4.954979,,3.103399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-31 00:00:04,3.058181,3.037189,3.305689,3.424324,3.641898,3.875895,4.100809,4.311071,4.462744,4.622835,4.725609,4.795915,4.89333,4.967538,5.006765,5.038828,5.046947,5.059845,5.07439,5.08967,,3.118638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-30 00:00:04,3.030689,3.028553,3.399833,3.501467,3.676107,3.845889,4.077538,4.268214,4.403526,4.590148,4.689828,4.778922,4.897704,5.003852,5.026432,5.054226,5.063248,5.077647,5.090607,5.101112,,3.130067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-31 00:00:04,3.127649,3.119244,3.465849,3.672876,3.87046,4.026201,4.261817,4.490154,4.632611,4.751873,4.818082,4.882707,5.000198,5.056939,5.091476,5.117452,5.130984,5.147005,5.160914,5.173011,,3.232928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11-30 00:00:04,3.149362,3.155238,3.639917,4.085167,4.257306,4.391244,4.572338,4.784542,4.871042,5.022976,5.121086,5.156917,5.257696,5.374388,5.417409,5.471698,5.501092,5.523238,5.545872,5.568791,5.604146,3.280073,5.659256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31 00:00:04,3.132233,3.179236,3.527398,3.845674,3.978859,4.199869,4.38197,4.51952,4.599784,4.719465,4.7908,4.836965,4.95336,5.068068,5.109545,5.163702,5.18816,5.253066,5.301103,5.341955,5.381252,3.313408,5.41884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-31 00:00:04,3.074099,3.068858,3.032846,3.114316,3.223039,3.393571,3.585195,3.750986,3.874484,3.985374,4.061674,4.119809,4.179008,4.312774,4.377414,4.433134,4.486685,4.559222,4.605045,4.647064,4.690706,3.052921,4.735643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-29 00:00:04,3.06368,3.045538,3.023275,3.114326,3.274364,3.535765,3.711606,3.967942,4.125407,4.251316,4.373578,4.465853,4.601746,4.719103,4.783959,4.859654,4.980432,5.049059,5.070894,5.087829,5.108335,3.028062,5.130888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
