Date,Open,High,Low,Close,Volume
2016-07-31,1531.94,1533.75,1511.65,1512.62,
2016-08-31,1545.72,1548.44,1539.74,1548.44,
2016-09-30,1486.24,1489.62,1480.5,1483.21,
2016-10-31,1494.84,1497.52,1491.58,1495.72,
2016-11-30,1498.41,1510.85,1496.59,1510.24,
2016-12-31,1550.09,1564.03,1548.66,1563.58,
2017-01-31,1586.14,1586.29,1576.27,1577.31,
2017-02-28,1559.58,1563.63,1558.38,1559.56,
2017-03-31,1583.06,1584.67,1574.84,1575.11,
2017-04-30,1566.84,1569.37,1564.12,1564.12,
2017-05-31,1571.83,1574.27,1558.56,1561.66,
2017-06-30,1578.72,1580.15,1567.73,1574.74,
2017-07-31,1582.22,1582.86,1569.79,1576.08,
2017-08-31,1611.53,1616.7,1607.93,1616.16,
2017-09-30,1678.1,1690.81,1678.09,1688.64,
2017-10-31,1721.02,1726.48,1718.09,1721.37,
2017-11-30,1702.54,1708.25,1691.97,1697.39,
2017-12-31,1759.61,1779.36,1759.61,1778.53,
2018-01-31,1820.35,1833.7,1819.94,1826.86,
2018-02-28,1828.62,1839.91,1825.9,1830.13,
2018-03-31,1774.72,1783.15,1771.63,1782.28,
2018-04-30,1782.1,1784.29,1777.13,1780.11,
2018-05-31,1730.02,1733.96,1720.35,1726.97,
2018-06-30,1597.01,1607.41,1586.34,1607.27,
2018-07-31,1704.04,1709.58,1695.59,1701.79,
2018-08-31,1714.48,1721.99,1712.92,1721.58,5982872576.0
2018-09-30,1762.3,1765.06,1757.74,1760.47,4633831424.0
2018-10-31,1651.07,1669.27,1649.27,1669.09,4044951407.0
2018-11-30,1640.7,1647.59,1633.62,1641.8,2471950020.0
2018-12-31,1567.09,1575.22,1563.66,1565.94,1968621531.0
2019-01-31,1640.34,1649.85,1639.9,1641.73,3997536916.0
2019-02-28,1666.33,1666.46,1653.01,1653.48,3140001027.0
2019-03-31,1645.37,1651.14,1644.22,1644.64,2255580402.0
2019-04-30,1668.02,1676.64,1667.29,1673.52,2282704147.0
2019-05-31,1620.58,1627.33,1612.17,1620.22,2562357480.0
2019-06-30,1744.13,1747.53,1739.48,1740.91,3945791279.0
2019-07-31,1704.04,1716.05,1702.72,1711.97,2664365504.0
2019-08-31,1651.2,1658.66,1646.59,1654.11,2720816704.0
2019-09-30,1643.13,1645.06,1634.1,1637.22,2050456034.0
2019-10-31,1606.71,1610.03,1600.23,1601.49,2411918222.0
2019-11-30,1588.59,1589.34,1566.68,1569.53,2414604295.0
2019-12-31,1584.35,1597.92,1583.18,1595.82,3438850642.0
2020-01-31,1528.86,1532.09,1514.14,1514.14,2730805597.0
2020-02-29,1355.99,1358.52,1317.45,1335.72,4157128869.0
2020-03-31,1108.79,1127.92,1104.12,1125.86,4494583809.0
2020-04-30,1297.93,1301.66,1292.97,1301.66,5648351925.0
2020-05-31,1355.39,1362.46,1348.99,1352.37,7145162353.0
2020-06-30,1344.54,1351.59,1339.03,1339.03,4808534184.0
2020-07-31,1314.99,1328.64,1303.25,1328.53,4734324553.0
2020-08-31,1328.7,1333.3,1308.73,1310.66,3930721345.0
2020-09-30,1259.08,1260.06,1236.53,1237.04,4181365627.0
2020-10-31,1196.64,1202.55,1191.44,1202.16,4005923030.0
2020-11-30,1429.99,1435.04,1408.02,1408.31,10528751301.0
2020-12-31,1428.8,1468.27,1425.48,1468.24,7391902622.0
2021-01-31,1465.76,1481.66,1456.45,1478.05,5608570445.0
2021-02-28,1493.55,1505.61,1487.99,1500.92,7460502023.0
2021-03-31,1592.26,1593.93,1585.58,1587.21,9987976221.0
